ensembl_gene_id,hgnc_symbol,source,team,study,input_data,details
ENSG00000155659,VSIG4,TREAT-AD,IUSM-Purdue,"GSE5281, GSE48350, GSE33000, GSE44772, ROSMAP, MSBB, Mayo, ABA",RNA,
ENSG00000163032,VSNL1,AMP-AD,MSSM - Zhang Lab,MSBB,"Genetics, RNA",
ENSG00000163032,VSNL1,AMP-AD,ASU,VirusResilience,RNA,
ENSG00000109072,VTN,AMP-AD,Mayo-UFL-ISB,APP Mice,Protein,
ENSG00000015285,WAS,TREAT-AD,IUSM-Purdue,"GSE5281, GSE48350, GSE33000, GSE44772, ROSMAP, MSBB, Mayo, ABA",RNA,
ENSG00000128815,WDFY4,AMP-AD,MSSM - Zhang Lab,MSBB,"Genetics, RNA",
ENSG00000128815,WDFY4,TREAT-AD,IUSM-Purdue,"GSE5281, GSE48350, GSE33000, GSE44772, ROSMAP, MSBB, Mayo, ABA",RNA,
ENSG00000071127,WDR1,Community,Chang Lab,MSBB,"Genetics, Protein",
ENSG00000071127,WDR1,AMP-AD,MSSM - Zhang Lab,MSBB,Protein,
ENSG00000091157,WDR7,AMP-AD,Emory,"ACT, BLSA, Banner",Protein,
ENSG00000116729,WLS,AMP-AD,MSSM - Roussos Lab,HBI_scRNAseq,RNA,
ENSG00000169884,WNT10B,AMP-AD,Mayo-UFL-ISB,Mayo,RNA,
ENSG00000134245,WNT2B,AMP-AD,MSSM - Roussos Lab,HBI_scRNAseq,RNA,
ENSG00000188064,WNT7B,AMP-AD,ASU,VirusResilience,RNA,
ENSG00000137693,YAP1,AMP-AD,MSSM - Zhang Lab,MSBB,"Genetics, RNA",
ENSG00000134684,YARS1,AMP-AD,Emory,"ACT, BLSA, Banner",Protein,
ENSG00000167645,YIF1B,Community,Chang Lab,ROSMAP,"Genetics, RNA",
ENSG00000109906,ZBTB16,AMP-AD,Mayo-UFL-ISB,Mayo,RNA,
ENSG00000180787,ZFP3,AMP-AD,ASU,VirusResilience,RNA,
ENSG00000256294,ZNF225,AMP-AD,ASU,VirusResilience,RNA,
ENSG00000198597,ZNF536,AMP-AD,Duke,ADNI,"Genetics, Metabolomics",
ENSG00000157657,ZNF618,AMP-AD,MSSM - Roussos Lab,HBI_scRNAseq,RNA,
ENSG00000198740,ZNF652,AMP-AD,MSSM - Roussos Lab,FreshMicro,"Genetics, RNA",
ENSG00000109917,ZPR1,AMP-AD,Duke,"AIBL, ADNI","Metabolomics, Genetics",
ENSG00000122952,ZWINT,AMP-AD,Mayo-UFL-ISB,APP Mice,Protein,
