source,target,feature_mode,top_n_genes,perm_index,null_perm_auroc
GSE63060,GSE63061,var,1000,91,0.505952380952381
GSE63060,GSE63061,var,1000,92,0.4904761904761905
GSE63060,GSE63061,var,1000,93,0.5738095238095239
GSE63060,GSE63061,var,1000,94,0.5386904761904762
GSE63060,GSE63061,var,1000,95,0.44166666666666665
GSE63060,GSE63061,var,1000,96,0.5232142857142856
GSE63060,GSE63061,var,1000,97,0.40714285714285714
GSE63060,GSE63061,var,1000,98,0.5601190476190475
GSE63060,GSE63061,var,1000,99,0.4630952380952381
GSE63060,GSE63061,de_ttest,200,0,0.4916666666666667
GSE63060,GSE63061,de_ttest,200,1,0.5684523809523809
GSE63060,GSE63061,de_ttest,200,2,0.4910714285714286
GSE63060,GSE63061,de_ttest,200,3,0.43333333333333335
GSE63060,GSE63061,de_ttest,200,4,0.5535714285714286
GSE63060,GSE63061,de_ttest,200,5,0.6232142857142857
GSE63060,GSE63061,de_ttest,200,6,0.6178571428571428
GSE63060,GSE63061,de_ttest,200,7,0.449404761904762
GSE63060,GSE63061,de_ttest,200,8,0.5339285714285714
GSE63060,GSE63061,de_ttest,200,9,0.5595238095238095
GSE63060,GSE63061,de_ttest,200,10,0.48571428571428577
GSE63060,GSE63061,de_ttest,200,11,0.5113095238095238
GSE63060,GSE63061,de_ttest,200,12,0.5238095238095237
GSE63060,GSE63061,de_ttest,200,13,0.5178571428571428
GSE63060,GSE63061,de_ttest,200,14,0.4892857142857143
GSE63060,GSE63061,de_ttest,200,15,0.5291666666666667
GSE63060,GSE63061,de_ttest,200,16,0.4988095238095238
GSE63060,GSE63061,de_ttest,200,17,0.5642857142857143
GSE63060,GSE63061,de_ttest,200,18,0.5928571428571429
GSE63060,GSE63061,de_ttest,200,19,0.5327380952380952
GSE63060,GSE63061,de_ttest,200,20,0.6220238095238095
GSE63060,GSE63061,de_ttest,200,21,0.4232142857142857
GSE63060,GSE63061,de_ttest,200,22,0.43333333333333335
GSE63060,GSE63061,de_ttest,200,23,0.5964285714285714
GSE63060,GSE63061,de_ttest,200,24,0.3738095238095238
GSE63060,GSE63061,de_ttest,200,25,0.5857142857142857
GSE63060,GSE63061,de_ttest,200,26,0.5172619047619047
GSE63060,GSE63061,de_ttest,200,27,0.4541666666666667
GSE63060,GSE63061,de_ttest,200,28,0.5279761904761905
GSE63060,GSE63061,de_ttest,200,29,0.5166666666666666
GSE63060,GSE63061,de_ttest,200,30,0.5053571428571428
GSE63060,GSE63061,de_ttest,200,31,0.5797619047619047
GSE63060,GSE63061,de_ttest,200,32,0.5351190476190476
GSE63060,GSE63061,de_ttest,200,33,0.49702380952380953
GSE63060,GSE63061,de_ttest,200,34,0.4011904761904762
GSE63060,GSE63061,de_ttest,200,35,0.6154761904761905
GSE63060,GSE63061,de_ttest,200,36,0.6220238095238095
GSE63060,GSE63061,de_ttest,200,37,0.4380952380952381
GSE63060,GSE63061,de_ttest,200,38,0.5571428571428572
