gene,de_score,distortion_score
RAC2,4.244501664713556,0.9369884682601561
RPL39,4.2408616839040825,0.9730931547919942
POMP,4.185310852885486,0.8621788536545398
PRIM1,4.1791322658205905,0.9937181982197484
TRIM56,4.173621432475375,1.0243931734325558
ICAM3,4.165185931198358,0.937639457089065
ABTB1,4.162702257088006,1.2588547089216748
SSB,4.161881283870058,1.8065553120217581
PRKCD,4.1404495683543745,1.2555446828683263
HCLS1,4.139640295604154,1.1648528316811937
HSPE1,4.13461312969476,1.5140361384242493
KCTD12,4.1255150795290945,1.02380029054822
DISC1,4.124794462074737,0.9238393922401562
ILMN_1654630,4.114578841295142,0.9750514562547742
EWSR1,4.109157888953995,1.0498878951129362
SEMA4D,4.106118350153926,1.263378800844499
UQCRB,4.105868254755175,1.0318647967863153
BRICD5,4.090338914531232,1.1284953451914193
ILMN_1661647,4.087372517386443,0.8709732375018249
RGS19,4.084714329604324,1.0212853173881844
TMBIM6,4.081256198067199,1.3056686206786152
NOTCH2,4.065125060035095,1.7949393579161763
NDUFB3,4.064979437900406,0.9331362340221883
AQP12A,4.053113483271061,1.0825246028729625
SETX,4.040077562473247,1.3613500316319649
CNNM4,4.038209653607506,1.0169868061222949
CCND3,4.0335465670159145,1.3488723951967403
ILMN_1730678,4.0249815111682485,0.9000056129592152
ILMN_2211800,4.022410262778167,1.9530094982707231
ITPRIP,4.013600644710372,0.9881408383629949
RPL26,4.011071562703597,0.8771008631203379
CTAGE5,4.002851206911731,1.4378254818377307
ARMCX6,3.9970914020851174,0.9076228089088207
CYTH1,3.9958913660820494,1.2748300847842016
ZNF281,3.9878078234035503,1.4313252662081506
TAP1,3.96450802017942,0.9086240871522073
CHRNA10,3.9617346939633284,1.071667634145303
ILMN_1718621,3.960234060533094,0.8900020711110026
MED31,3.9542516258980753,1.3385936804217509
ILMN_1674590,3.938999236190687,1.1342849953628729
ARHGEF2,3.938298417257601,1.1130534161088876
TMSB10,3.9364339661329697,1.0866440799549097
ILMN_1727287,3.9358357840009526,1.133702394337033
PPBP,3.935104017060698,2.162787034103304
LINC00999,3.9334069737258375,1.422440211081605
FXR1,3.931589591789292,0.9776419110312836
PFKFB4,3.9210149040863564,0.9686436917610157
RPL31,3.920483735365373,1.1508558993482327
ILMN_2230162,3.916243890219805,1.0761969944930858
FGF7,3.9136823274701715,1.7625656426907752
C1ORF132,3.9010461031883925,1.1573598109665972
C1ORF162,3.896328712909388,1.3913730885218734
ILMN_1691402,3.884813695001505,1.074955928200681
PARP4,3.8843223554601494,1.1764631261711906
STX16,3.8834974171113354,0.911797260894874
XPO6,3.8719437303662003,0.9291643042056299
NPC2,3.870842248367558,0.865335327641809
ILMN_1687835,3.869632795536601,1.1043658728239862
FLOT2,3.8576051815667727,1.1545895618766686
DGAT1,3.8570709300106953,0.9214951471525287
RPS4X,3.852999845171546,1.0015557653499052
EXOSC9,3.840176909072935,0.8739339996247751
RPL23,3.838629831079406,1.503370997880455
ZFC3H1,3.8321297145493,1.3521949087511071
HEXDC,3.8282588021640067,1.790735694440527
IRF9,3.8268741798387236,1.2441742988558073
ILMN_1789965,3.817363132813992,0.9063864719527526
PSME1,3.8168579851449382,1.1148975444682574
SAR1B,3.81271403823113,1.2504814166956322
SERPINA1,3.8014396195012123,1.1296210887143399
ILMN_2049343,3.7998381305747846,1.3687479956375166
ZBTB8OS,3.780395968494482,1.9245952230326682
ATG4C,3.77270377190779,1.6721844621393533
LILRA2,3.770058199121803,1.0911261215864385
PDCD10,3.768248461712787,1.3088525874896073
CUTC,3.761836289210444,0.9548292019553828
CNBP,3.759411849647519,2.02266864404102
RBM34,3.7517974190436187,1.0433374107751467
ASAP1,3.751223685609112,1.3582631839645218
ILMN_1755514,3.7495135538527786,1.6274128823113776
AGTRAP,3.7482325107226124,0.931492972394854
SNORD33,3.7453440598489,0.9710169031393172
AVIL,3.7367915899850304,1.0881112811942688
TPT1,3.7342302132957554,1.2467887417508758
